"","Type","Bedrooms","Bathrooms","mean_price"
"1","Att/Row/Twnhouse 2-Storey","1","1",1316.66666666667
"2","Att/Row/Twnhouse 2-Storey","1","3",1150
"3","Att/Row/Twnhouse 2-Storey","2","2",2495
"4","Att/Row/Twnhouse 2-Storey","2","3",7500
"5","Att/Row/Twnhouse 2-Storey","3","1",2762.5
"6","Att/Row/Twnhouse 2-Storey","3","2",2533.33333333333
"7","Att/Row/Twnhouse 2-Storey","3","3",5875
"8","Att/Row/Twnhouse 2-Storey","3","4",3075
"9","Att/Row/Twnhouse 2-Storey","3","6",3900
"10","Att/Row/Twnhouse 2-Storey","4","4",12500
"11","Att/Row/Twnhouse 2 1/2 Storey","1","1",2350
"12","Att/Row/Twnhouse 2 1/2 Storey","2","2",2675
"13","Att/Row/Twnhouse 2 1/2 Storey","4","2",2800
"14","Att/Row/Twnhouse 3-Storey","1","1",700
"15","Att/Row/Twnhouse 3-Storey","2","2",2200
"16","Att/Row/Twnhouse 3-Storey","3","2",3597.8
"17","Att/Row/Twnhouse 3-Storey","3","3",3731.36363636364
"18","Att/Row/Twnhouse 3-Storey","3","4",2900
"19","Att/Row/Twnhouse 3-Storey","3","5",13500
"20","Att/Row/Twnhouse 3-Storey","4","3",3147.5
"21","Att/Row/Twnhouse 3-Storey","4","4",4448.33333333333
"22","Att/Row/Twnhouse 3-Storey","5","4",4000
"23","Att/Row/Twnhouse Apartment","1","1",1100
"24","Att/Row/Twnhouse Apartment","2","3",2699
"25","Att/Row/Twnhouse Apartment","3","2",2000
"26","Att/Row/Twnhouse Other","4","3",5000
"27","Att/Row/Twnhouse Other","5","2",3280
"28","Co-Op Apt Apartment","1","1",2003.75
"29","Co-Op Apt Apartment","2","2",3000
"30","Co-Op Apt Apartment","2","3",6700
"31","Co-Ownership Apt 2-Storey","2","2",2500
"32","Co-Ownership Apt Apartment","2","1",2400
"33","Co-Ownership Apt Bachelor/Studio","1","1",1795
"34","Comm Element Condo 2-Storey","1","2",4600
"35","Comm Element Condo 3-Storey","2","3",8500
"36","Comm Element Condo Apartment","1","1",2217.2
"37","Comm Element Condo Apartment","2","1",2343.6
"38","Comm Element Condo Apartment","2","2",4088
"39","Comm Element Condo Apartment","2","3",3200
"40","Comm Element Condo Apartment","3","2",3633.33333333333
"41","Comm Element Condo Apartment","3","3",5350
"42","Comm Element Condo Loft","1","1",5850
"43","Comm Element Condo Loft","2","1",2990
"44","Comm Element Condo Loft","2","2",2950
"45","Comm Element Condo Multi-Level","1","1",1800
"46","Comm Element Condo Multi-Level","2","1",2100
"47","Comm Element Condo Multi-Level","2","2",2700
"48","Comm Element Condo Multi-Level","3","2",3900
