"","Bedrooms","Bathrooms","mean_price1"
"1","1","1",1973.37084975354
"2","1","2",3017.59259259259
"3","1","3",1175
"4","2","1",2316.60598012891
"5","2","2",2996.60343826055
"6","2","3",4857.65833333333
"7","3","1",2675.58136924804
"8","3","2",3428.3279444864
"9","3","3",5213.75472772841
"10","3","4",7559.5
"11","3","5",10500
"12","3","6",3900
"13","4","1",3426.66666666667
"14","4","2",3599.61142676768
"15","4","3",5099.99041666667
"16","4","4",7288.70448179272
"17","4","5",11025
"18","4","6",8800
"19","4","7",11900
"20","5","2",4507.25
"21","5","3",4257.68888888889
"22","5","4",4801.98412698413
"23","5","5",9018.57142857143
"24","5","6",12825
"25","5","7",13700
"26","6","2",3000
"27","6","3",4775
"28","6","4",6366.66666666667
"29","6","5",8040
"30","6","6",13100
"31","6","7",7266.66666666667
"32","7","3",3000
"33","7","4",9750
"34","7","5",8731.5
"35","7","6",7366.66666666667
"36","7","8",6800
"37","8","7",7200
