Id,Address,Bedrooms,Bathrooms,Type,Price
E4365047,"54 Wayside Ave, Toronto",1,1,Semi-Detached 2-Storey,650
W4372116,"2217 Weston Rd, Toronto",1,1,Att/Row/Twnhouse 3-Storey,700
W4334079,"28 Romanway Cres, Toronto",1,1,Semi-Detached Backsplit 5,700
C4353733,"268 Fisherville Rd Lower, Toronto",3,1,Detached 2-Storey,799
E4393104,"19 Rosebank Dr 505, Toronto",1,1,Condo Townhouse 3-Storey,800
E4361540,"3420 Eglinton Ave 301, Toronto",1,1,Condo Apt Apartment,800
E4383180,"8 Rosemount Dr Room, Toronto",5,3,Detached 2-Storey,800
W4334050,"28 Romanway Cres Upper, Toronto",1,1,Semi-Detached Backsplit 5,800
E4344246,"1851A Lawrence Ave E 3, Toronto",1,1,Store W/Apt/Offc Apartment,950
W4390721,"57 Cowan Ave 402, Toronto",1,1,Condo Apt Apartment,1000
E4398144,"29 Nabob Cres, Toronto",1,1,Detached 2-Storey,1000
E4392644,"4 Valhalla Blvd Lower A, Toronto",1,1,Lower Level Bachelor/Studio,1000
E4353478,"20 Hoptree Ave, Toronto",1,1,Detached 2-Storey,1000
W4398180,"164 Melrose St 2, Toronto",1,1,Multiplex Apartment,1100
E4392643,"4 Valhalla Blvd Lower B, Toronto",1,1,Lower Level Bachelor/Studio,1000
C4381771,"44 Broadlands Blvd, Toronto",1,1,Detached Bungalow,1050
C4382711,"27 Howard St, Toronto",1,1,Att/Row/Twnhouse Apartment,1100
E4367671,"5 Tait Crt, Toronto",1,1,Att/Row/Twnhouse 2-Storey,1100
E4347117,"110 Dorset Rd Bsmt, Toronto",2,1,Detached Bungalow,1100
E4377692,"107 Linden Ave, Toronto",1,1,Detached Bungalow,1100
E4379666,"100 Maberley Cres Bsmt, Toronto",1,1,Detached 2-Storey,1100
E4390471,"14 Glanvil Cres, Toronto",1,1,Detached 2-Storey,1100
C4396665,"208 Millwood Rd Bsmt, Toronto",1,1,Fourplex Apartment,1100
E4376512,"73 Buckhurst Cres, Toronto",1,3,Att/Row/Twnhouse 2-Storey,1150
W4362940,"19 Laughton Ave Bsmt, Toronto",1,1,Semi-Detached 2-Storey,1200
E4397431,"37 Brightside Dr, Toronto",1,1,Detached Bungalow,1200
W4384504,"1237 Glencairn Ave Bsmt, Toronto",1,1,Detached Bungalow,1200
C4382138,"324 Spadina Ave F, Toronto",1,3,Shared Room Apartment,1200
W4396101,"408 Salem Ave Bsmt, Toronto",1,1,Detached 2-Storey,1200
E4341786,"17 Flycatcher Ave Bsmt, Toronto",1,1,Detached 2-Storey,1200
E4389297,"7 Salamander St (Bsmt), Toronto",1,1,Att/Row/Twnhouse 2-Storey,1250
W4378676,"198A Boon Ave Bsmt, Toronto",1,1,Semi-Detached Other,1250
E4398381,"42 Megan Ave Bsmt, Toronto",1,1,Detached Bungalow,1250
W4397926,"55 Tofield Cres Bsmnt, Toronto",1,1,Detached 1 1/2 Storey,1250
C4388760,"165 Pemberton Ave B, Toronto",1,1,Detached Bungalow,1250
W4381912,"24 Heman St Lower, Toronto",1,1,Triplex Apartment,1295
C4392375,"17 Saguenay Ave Lower, Toronto",1,1,Detached 2-Storey,1300
E4373692,"140 Dean Park Rd, Toronto",2,1,Detached 2-Storey,1300
W4374576,"25 Porter Ave Bsmt, Toronto",1,1,Semi-Detached 2-Storey,1300
E4376170,"2828 Danforth Ave 2, Toronto",1,1,Upper Level Apartment,1300
C4321815,"293 Ellerslie Ave, Toronto",1,1,Detached Bungalow-Raised,1350
C4373518,"2017 Avenue Rd 1, Toronto",1,1,Store W/Apt/Offc Apartment,1350
C4386274,"522 Arlington Ave Lowe Fl, Toronto",1,1,Detached Bungalow,1350
E4377307,"21 Wroxeter Ave Basment, Toronto",2,1,Detached 2-Storey,1390
